Month,Total Revenue,Food Cost,Beverage Cost,Total Labor,Rent,Utilities,Marketing,Other Expenses
2024-01,125000,32500,8750,37500,6000,2800,1500,3200
2024-02,118000,30680,8260,35400,6000,2600,1200,3100
2024-03,132000,34320,9240,39600,6000,3000,1800,3400
2024-04,128500,33410,8995,38550,6000,2900,1600,3300
2024-05,135000,35100,9450,40500,6000,3100,2000,3500
2024-06,142000,36920,9940,42600,6000,3300,2200,3700
2024-07,148000,38480,10360,44400,6000,3500,2400,3900
2024-08,145000,37700,9850,43500,6000,3400,2300,3800
2024-09,138000,35880,9660,41400,6000,3200,1900,3600
2024-10,140000,36400,9800,42000,6000,3250,2000,3650
2024-11,144000,37440,10080,43200,6000,3350,2100,3750
2024-12,156000,40560,10920,46800,6000,3600,2500,4000
